instead	～の代わりに
notice	掲示、お知らせ、～に気づく
either	否定文　～もまたない
beside	～のそばに、～と並んで
injure	～に怪我をさせる
steal	～を盗む
below	～の下に
across	～を渡って、～を横切って
someone	誰か、ある人、
burn	燃える、～を燃やす
exchange	～を交換する
explain	～を説明する
capital	首都
century	世紀 
fact	事実
fever	(病気による)熱
grandson	孫（男）
horizon	地平線、水平線
kid	子供
middle	真ん中
stew	シチュー
hill	丘、低い山
statue	像、彫像
billion	10億の
enjoyable	楽しい、面白い
loud	声が大きい
narrow	幅が狭い
tight	(シャツが)きつい
usual	いつもの、ふつうの
whole	全体の
anymore	（疑問・否定）今はもう～ない
anyway	とにかく、いずれにしても
luckily	幸運にも
between	～の間に
